| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_edonr512 <-] edonr512 [wiki:platformsciphers_fritzbox-7170_edonr512 ->] || [wiki:platformsimplementations_fritzbox-7170_edonr512_swpbe swpbe] || 148824 || 25102 || 2040 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_essence256 <-] essence256 [wiki:platformsciphers_fritzbox-7170_essence256 ->] || [wiki:platformsimplementations_fritzbox-7170_essence256_gcc gcc] || 2520309 || 32340 || 4491 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_10 Run 10]
|[wiki:ciphers_essence224 <-] essence224 [wiki:platformsciphers_fritzbox-7170_essence224 ->] || [wiki:platformsimplementations_fritzbox-7170_essence224_gcc gcc] || 2520230 || 33975 || 4492 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_essence384 <-] essence384 [wiki:platformsciphers_fritzbox-7170_essence384 ->] || [wiki:platformsimplementations_fritzbox-7170_essence384_gcc gcc] || 1627564 || 33975 || 4656 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_essence512 <-] essence512 [wiki:platformsciphers_fritzbox-7170_essence512 ->] || [wiki:platformsimplementations_fritzbox-7170_essence512_gcc gcc] || 1628160 || 32340 || 4668 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_md6d224 <-] md6d224 [wiki:platformsciphers_fritzbox-7170_md6d224 ->] || [wiki:platformsimplementations_fritzbox-7170_md6d224_ref ref] || 581874 || 11101 || 7252 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:ciphers_md6d256 <-] md6d256 [wiki:platformsciphers_fritzbox-7170_md6d256 ->] || [wiki:platformsimplementations_fritzbox-7170_md6d256_ref ref] || 616324 || 9466 || 7252 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:ciphers_md6d384 <-] md6d384 [wiki:platformsciphers_fritzbox-7170_md6d384 ->] || [wiki:platformsimplementations_fritzbox-7170_md6d384_ref ref] || 772767 || 11101 || 7272 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:ciphers_md6d512 <-] md6d512 [wiki:platformsciphers_fritzbox-7170_md6d512 ->] || [wiki:platformsimplementations_fritzbox-7170_md6d512_ref ref] || 881801 || 9466 || 7284 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:ciphers_sarmal256 <-] sarmal256 [wiki:platformsciphers_fritzbox-7170_sarmal256 ->] || [wiki:platformsimplementations_fritzbox-7170_sarmal256_opt64 opt64] || 1982240 || 133540 || 17632 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_sarmal512 <-] sarmal512 [wiki:platformsciphers_fritzbox-7170_sarmal512 ->] || [wiki:platformsimplementations_fritzbox-7170_sarmal512_opt64 opt64] || 2471549 || 133540 || 17664 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
