| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 9571827 || 440086 || 47024 (89174) || 60 (1004) || 0 (1004) || 1264(1312) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1739500 || 135177 || 24600 (57645) || 56 (996) || 0 (996) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1746973 || 141364 || 27368 (58813) || 56 (996) || 0 (996) || 1600(1656) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1687918 || 136382 || 27557 (59058) || 56 (996) || 0 (996) || 1536(1592) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1777421 || 139390 || 25896 (57046) || 56 (996) || 0 (996) || 1592(1648) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 8856340 || 372378 || 17629 (59779) || 48 (992) || 0 (992) || 856(904) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1636004 || 133825 || 7301 (40346) || 44 (984) || 0 (984) || 808(864) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1699856 || 138092 || 7893 (39338) || 44 (984) || 0 (984) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1642642 || 135601 || 7493 (38994) || 44 (984) || 0 (984) || 1152(1208) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref_xbx-pruned ref_xbx-pruned] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1731669 || 137601 || 7589 (38739) || 44 (984) || 0 (984) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 48765128 || 3243388 || 47523 (89673) || 72 (1016) || 0 (1016) || 560(608) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1237047 || 110280 || 10243 (43288) || 68 (1008) || 0 (1008) || 624(680) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1299123 || 122165 || 11107 (42552) || 68 (1008) || 0 (1008) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1307921 || 121821 || 11146 (42647) || 68 (1008) || 0 (1008) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1338409 || 122191 || 11355 (42505) || 68 (1008) || 0 (1008) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 25011336 || 1578102 || 23897 (66047) || 68 (1012) || 0 (1012) || 632(680) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1195283 || 109180 || 9593 (42638) || 64 (1004) || 0 (1004) || 896(952) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1173076 || 110267 || 9545 (40990) || 64 (1004) || 0 (1004) || 1088(1144) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1285078 || 119727 || 10912 (42413) || 68 (1008) || 0 (1008) || 1368(1424) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1232860 || 108769 || 9745 (40895) || 64 (1004) || 0 (1004) || 1096(1152) || Checksum OK
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 45059606 || 1016606 || 12881 (55031) || 136 (1080) || 32 (1080) || 1080(1128) || Checksum OK
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 6974416 || 370642 || 8337 (41382) || 116 (1056) || 32 (1056) || 1176(1232) || Checksum OK
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 6097319 || 326043 || 7873 (39318) || 116 (1056) || 32 (1056) || 1176(1232) || Checksum OK
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 3504294 || 210529 || 11343 (42844) || 116 (1056) || 32 (1056) || 1416(1472) || Checksum OK
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 4771656 || 258508 || 7001 (38151) || 116 (1056) || 32 (1056) || 1160(1216) || Checksum OK
