| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksumming Cycles''' || '''Benchmark Cycles (1536 byte)''' || '''Stack (bytes)''' || '''Result''' 
|[wiki:ciphers_cubehash816 cubehash816] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O2 || 4.3.4 (GCC) || 377554738 || 13954815 || 284 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O3 || 4.3.4 (GCC) || 345252111 || 13642365 || 960 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -Os || 4.3.4 (GCC) || 393971643 || 14941619 || 278 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O0 || 4.3.4 (GCC) || 1089527895 || 57699029 || 642 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O1 || 4.3.4 (GCC) || 504017801 || 31857239 || 592 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O2 || 4.3.4 (GCC) || 447188467 || 29734870 || 628 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O3 || 4.3.4 (GCC) || 453637855 || 30687580 || 786 || Checksum OK
|[wiki:ciphers_cubehash816 cubehash816] || spec || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -Os || 4.3.4 (GCC) || 491433822 || 33066796 || 628 || Checksum OK
|[wiki:ciphers_cubehash82 cubehash82] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O0 || 4.3.4 (GCC) || 1565965072 || 154411951 || 340 || Checksum OK
|[wiki:ciphers_cubehash82 cubehash82] || simple || avr-gcc -funsigned-char -funsigned-bitfields -fpack-struct -fshort-enums  -mmcu=atmega1281 -DF CPU=16000000L -ffunction-sections -fdata-sections -Wl,-gc-sections -O1 || 4.3.4 (GCC) || 917335589 || 92656897 || 290 || Checksum OK
